T1P1T06_hyoid_data.tx,T1P1T06_hyoid_data.ty,T1P1T06_hyoid_data.tz,T1P1T06_hyoid_data.rx,T1P1T06_hyoid_data.ry,T1P1T06_hyoid_data.rz
1.906942484,-0.826789394,-1.820424085,-19.6675491,-29.7037594,11.3590046
1.906877966,-0.8283468176,-1.816876671,-19.96139307,-29.64579887,11.65991633
1.90681546,-0.8299054884,-1.813326417,-20.25547234,-29.58779193,11.96106902
1.906754935,-0.8314641592,-1.809776163,-20.54955162,-29.52978498,12.26222171
1.906696361,-0.8330215828,-1.80622875,-20.84339559,-29.47182446,12.56313344
1.906639709,-0.8345765123,-1.802687018,-21.13676898,-29.41395675,12.86356326
1.906584948,-0.8361277004,-1.799153807,-21.42943648,-29.35622828,13.16327023
1.906532048,-0.8376739002,-1.795631959,-21.7211628,-29.29868545,13.46201337
1.90648098,-0.8392138644,-1.792124314,-22.01171265,-29.24137469,13.75955174
1.906431713,-0.840746346,-1.788633712,-22.30085073,-29.1843424,14.05564439
1.906384217,-0.8422700979,-1.785162994,-22.58834175,-29.12763498,14.35005036
1.906338461,-0.8437838729,-1.781715001,-22.8739504,-29.07129886,14.64252869
1.906294417,-0.8452864241,-1.778292573,-23.15744141,-29.01538045,14.93283843
1.906252054,-0.8467765042,-1.774898551,-23.43857947,-28.95992616,15.22073864
1.906211342,-0.8482528662,-1.771535776,-23.71712928,-28.90498239,15.50598834
1.90617225,-0.8497142629,-1.768207087,-23.99285556,-28.85059556,15.78834659
1.90613475,-0.8511594473,-1.764915326,-24.265523,-28.79681209,16.06757244
1.90609881,-0.8525871723,-1.761663333,-24.53489632,-28.74367838,16.34342493
1.906064401,-0.8539961907,-1.758453949,-24.80074022,-28.69124085,16.6156631
1.906031492,-0.8553852555,-1.755290014,-25.0628194,-28.63954591,16.88404601
1.906000055,-0.8567531195,-1.752174369,-25.32089856,-28.58863996,17.14833269
1.905970057,-0.8580985357,-1.749109854,-25.57474242,-28.53856943,17.4082822
1.90594147,-0.8594202569,-1.746099311,-25.82411569,-28.48938072,17.66365357
