ope_tip_data.tx,ope_tip_data.ty,ope_tip_data.tz,hyoid_tip_data.tx,hyoid_tip_data.ty,hyoid_tip_data.tz,lower_jaw_tip_data.tx,lower_jaw_tip_data.ty,lower_jaw_tip_data.tz,upper_jaw_tip_data.tx,upper_jaw_tip_data.ty,upper_jaw_tip_data.tz
-1.989944213,-0.4670528414,-2.599465925,3.665843982,0.06365375967,-0.4151241583,5.329339666,1.616087355,-0.01485445644,5.163969563,2.192774672,-0.06830050733
-1.990133225,-0.4672313457,-2.60057818,3.666042226,0.06454218369,-0.4170103351,5.329349803,1.615484663,-0.01443278287,5.163495954,2.192742458,-0.067909701
-1.99030672,-0.4673952485,-2.601667051,3.666226127,0.06541475796,-0.4188156958,5.329358103,1.614887806,-0.01404161622,5.163062667,2.192713303,-0.06755216657
-1.990464175,-0.4675440444,-2.602729992,3.66639473,0.06627079983,-0.4205338911,5.329364749,1.614296673,-0.0136829903,5.162670709,2.192687211,-0.06722873586
-1.990605067,-0.4676772279,-2.603764456,3.666547078,0.0671096267,-0.4221585715,5.329369925,1.613711153,-0.0133589389,5.162321089,2.192664181,-0.06694024066
-1.990728873,-0.4677942935,-2.6047679,3.666682215,0.06793055593,-0.4236833878,5.329373815,1.613131135,-0.01307149582,5.162014815,2.192644216,-0.06668751276
-1.990835067,-0.4678947359,-2.605737777,3.666799186,0.06873290489,-0.4251019906,5.329376602,1.612556507,-0.01282269485,5.161752894,2.192627318,-0.06647138396
-1.990923128,-0.4679780494,-2.606671542,3.666897033,0.06951599096,-0.4264080305,5.32937847,1.611987158,-0.01261456979,5.161536334,2.192613488,-0.06629268607
-1.990992531,-0.4680437287,-2.607566649,3.6669748,0.07027913151,-0.4275951583,5.329379603,1.611422978,-0.01244915443,5.161366144,2.192602728,-0.06615225088
-1.991042753,-0.4680912683,-2.608420553,3.667031532,0.07102164392,-0.4286570246,5.329380185,1.610863854,-0.01232848257,5.161243332,2.192595041,-0.06605091018
-1.99107327,-0.4681201628,-2.609230708,3.667066273,0.07174284556,-0.42958728,5.329380399,1.610309676,-0.01225458801,5.161168905,2.192590427,-0.06598949577
-1.991083559,-0.4681299066,-2.60999457,3.667078065,0.0724420538,-0.4303795752,5.32938043,1.609760333,-0.01222950453,5.161143872,2.192588889,-0.06596883946
-1.991081407,-0.4681256235,-2.610705615,3.667062088,0.07312679989,-0.4310864461,5.329380422,1.609212383,-0.01222969336,5.161157268,2.192614617,-0.06597178524
-1.991074637,-0.468112648,-2.61136111,3.667015018,0.07380487331,-0.4317650459,5.329380366,1.608662808,-0.0122302817,5.161196926,2.192690412,-0.06598055986
-1.99106278,-0.4680907903,-2.61196419,3.666938153,0.07447597875,-0.4324159518,5.329380214,1.608112131,-0.01223130236,5.161262053,2.192814187,-0.06599506927
-1.991045368,-0.4680598609,-2.612517992,3.666832787,0.07513982094,-0.4330397405,5.329379919,1.607560877,-0.01223278813,5.161351853,2.192983856,-0.06601521942
-1.991021931,-0.4680196702,-2.613025652,3.666700215,0.07579610457,-0.4336369892,5.329379431,1.607009569,-0.01223477181,5.161465534,2.193197334,-0.06604091624
-1.990992,-0.4679700286,-2.613490307,3.666541734,0.07644453436,-0.4342082747,5.329378704,1.60645873,-0.01223728619,5.161602301,2.193452533,-0.06607206569
-1.990955106,-0.4679107464,-2.613915093,3.666358639,0.07708481502,-0.434754174,5.32937769,1.605908883,-0.01224036407,5.161761361,2.193747368,-0.0661085737
-1.99091078,-0.4678416342,-2.614303146,3.666152224,0.07771665125,-0.4352752641,5.32937634,1.605360553,-0.01224403824,5.161941919,2.194079753,-0.06615034622
-1.990858553,-0.4677625022,-2.614657602,3.665923787,0.07833974775,-0.4357721219,5.329374607,1.604814262,-0.0122483415,5.162143182,2.194447601,-0.06619728919
-1.990797956,-0.4676731609,-2.614981599,3.665674622,0.07895380925,-0.4362453244,5.329372442,1.604270535,-0.01225330665,5.162364355,2.194848827,-0.06624930856
-1.990728519,-0.4675734206,-2.615278271,3.665406024,0.07955854044,-0.4366954485,5.329369798,1.603729894,-0.01225896649,5.162604645,2.195281345,-0.06630631027
-1.990649774,-0.4674630918,-2.615550757,3.66511929,0.08015364604,-0.4371230712,5.329366627,1.603192864,-0.0122653538,5.162863257,2.195743067,-0.06636820026
-1.990561252,-0.4673419849,-2.615802191,3.664815714,0.08073883076,-0.4375287695,5.32936288,1.602659967,-0.01227250139,5.163139398,2.196231909,-0.06643488448
-1.990462483,-0.4672099102,-2.61603571,3.664496593,0.08131379929,-0.4379131203,5.329358511,1.602131728,-0.01228044204,5.163432274,2.196745785,-0.06650626886
-1.990352999,-0.4670666782,-2.616254451,3.664163221,0.08187825635,-0.4382767006,5.32935347,1.601608669,-0.01228920857,5.16374109,2.197282607,-0.06658225937
-1.99023233,-0.4669120992,-2.616461549,3.663816894,0.08243190666,-0.4386200874,5.329347711,1.601091315,-0.01229883376,5.164065053,2.19784029,-0.06666276193
-1.990100007,-0.4667459836,-2.616660142,3.663458908,0.0829744549,-0.4389438575,5.329341185,1.600580188,-0.01230935041,5.164403369,2.198416748,-0.06674768249
-1.989955561,-0.466568142,-2.616853365,3.663090558,0.08350560581,-0.439248588,5.329333844,1.600075813,-0.01232079132,5.164755244,2.199009895,-0.066836927
-1.989798524,-0.4663783845,-2.617044355,3.66271314,0.08402506407,-0.4395348557,5.32932564,1.599578712,-0.01233318927,5.165119884,2.199617645,-0.06693040139
-1.989628425,-0.4661765217,-2.617236249,3.662327948,0.08453253441,-0.4398032378,5.329316526,1.59908941,-0.01234657708,5.165496495,2.200237911,-0.06702801162
-1.989444797,-0.4659623639,-2.617432181,3.66193628,0.08502772152,-0.4400543111,5.329306453,1.598608429,-0.01236098753,5.165884282,2.200868608,-0.06712966363
-1.989247169,-0.4657357216,-2.61763529,3.661539429,0.08551033013,-0.4402886526,5.329295373,1.598136294,-0.01237645342,5.166282453,2.201507649,-0.06723526335
-1.989035073,-0.4654964051,-2.61784871,3.661138692,0.08598006492,-0.4405068392,5.32928324,1.597673527,-0.01239300754,5.166690212,2.202152948,-0.06734471674
-1.98880804,-0.4652442248,-2.618075579,3.660735364,0.08643663062,-0.440709448,5.329270003,1.597220653,-0.0124106827,5.167106767,2.202802419,-0.06745792973
-1.9885656,-0.4649789911,-2.618319033,3.66033074,0.08687973194,-0.4408970558,5.329255617,1.596778194,-0.01242951168,5.167531323,2.203453977,-0.06757480828
-1.988307285,-0.4647005144,-2.618582208,3.659926116,0.08730907357,-0.4410702396,5.329240032,1.596346675,-0.0124495273,5.167963086,2.204105535,-0.06769525832
-1.988032625,-0.4644086052,-2.61886824,3.659522788,0.08772436023,-0.4412295765,5.329223202,1.595926618,-0.01247076233,5.168401262,2.204755006,-0.06781918579
-1.987741152,-0.4641030738,-2.619180267,3.659122051,0.08812529663,-0.4413756432,5.329205077,1.595518548,-0.01249324957,5.168845057,2.205400306,-0.06794649665
-1.987432396,-0.4637837306,-2.619521423,3.6587252,0.08851158747,-0.4415090169,5.32918561,1.595122987,-0.01251702184,5.169293678,2.206039347,-0.06807709684
-1.987105888,-0.4634503859,-2.619894845,3.658333532,0.08888293747,-0.4416302744,5.329164753,1.59474046,-0.0125421119,5.169746329,2.206670043,-0.06821089229
-1.986761159,-0.4631028503,-2.620303671,3.65794834,0.08923905133,-0.4417399928,5.329142459,1.594371489,-0.01256855258,5.170202219,2.207290309,-0.06834778896
-1.986397741,-0.4627409341,-2.620751035,3.657570922,0.08957963375,-0.4418387489,5.329118678,1.594016599,-0.01259637666,5.170660551,2.207898059,-0.06848769278
-1.986015163,-0.4623644477,-2.621240075,3.657202572,0.08990438945,-0.4419271198,5.329093364,1.593676313,-0.01262561693,5.171120533,2.208491206,-0.0686305097
-1.985612957,-0.4619732015,-2.621773926,3.656844586,0.09021302314,-0.4420056824,5.329066468,1.593351154,-0.01265630619,5.171581371,2.209067664,-0.06877614566
-1.985190654,-0.4615670059,-2.622355725,3.656498259,0.09050523952,-0.4420750136,5.329037943,1.593041645,-0.01268847725,5.17204227,2.209625347,-0.06892450662
-1.984747785,-0.4611456712,-2.622988609,3.656164887,0.09078074331,-0.4421356905,5.329007741,1.592748311,-0.01272216289,5.172502436,2.21016217,-0.0690754985
-1.98428388,-0.460709008,-2.623675714,3.655845766,0.0910392392,-0.4421882899,5.328975812,1.592471675,-0.01275739591,5.172961076,2.210676045,-0.06922902726
-1.983798471,-0.4602568265,-2.624420175,3.65554219,0.09128043192,-0.4422333888,5.328942111,1.59221226,-0.01279420911,5.173417396,2.211164887,-0.06938499883
-1.983291089,-0.4597889372,-2.62522513,3.655255456,0.09150402616,-0.4422715643,5.328906588,1.59197059,-0.01283263529,5.173870601,2.21162661,-0.06954331917
-1.982761263,-0.4593051505,-2.626093714,3.654986858,0.09170972663,-0.4423033932,5.328869196,1.591747188,-0.01287270723,5.174319898,2.212059127,-0.06970389421
-1.982208527,-0.4588052767,-2.627029065,3.654737693,0.09189723805,-0.4423294525,5.328829887,1.591542578,-0.01291445774,5.174764492,2.212460353,-0.0698666299
-1.981632409,-0.4582891264,-2.628034318,3.654509256,0.09206626511,-0.4423503192,5.328788613,1.591357283,-0.01295791961,5.175203591,2.212828201,-0.07003143218
-1.981032442,-0.4577565098,-2.629112609,3.654302841,0.09221651254,-0.4423665702,5.328745326,1.591191827,-0.01300312564,5.175636399,2.213160586,-0.070198207
-1.980408155,-0.4572072373,-2.630267075,3.654119746,0.09234768504,-0.4423787825,5.328699978,1.591046734,-0.01305010863,5.176062123,2.213455421,-0.0703668603
-1.979759081,-0.4566411194,-2.631500853,3.653961265,0.09245948731,-0.442387533,5.328652521,1.590922526,-0.01309890136,5.176479969,2.213710621,-0.07053729803
-1.97908475,-0.4560579665,-2.632817078,3.653828693,0.09255162406,-0.4423933988,5.328602907,1.590819727,-0.01314953664,5.176889143,2.213924098,-0.07070942612
-1.978384692,-0.4554575889,-2.634218888,3.653723327,0.09262380001,-0.4423969567,5.328551089,1.590738862,-0.01320204727,5.17728885,2.214093767,-0.07088315052
-1.977658439,-0.4548397971,-2.635709417,3.653646462,0.09267571986,-0.4423987837,5.328497018,1.590680452,-0.01325646603,5.177678298,2.214217542,-0.07105837717
-1.976905522,-0.4542044014,-2.637291803,3.653599392,0.09270708831,-0.4423994569,5.328440646,1.590645023,-0.01331282573,5.178056692,2.214293337,-0.07123501203
-1.976125472,-0.4535512122,-2.638969182,3.653583415,0.09271761008,-0.442399553,5.328381927,1.590633097,-0.01337115915,5.178423238,2.214319065,-0.07141296102
-1.975308397,-0.452877308,-2.640728414,3.65360679,0.09268531879,-0.4423707413,5.328187614,1.590845218,-0.01343381396,5.178772163,2.214210377,-0.07159916159
-1.974445817,-0.4521802481,-2.642553422,3.653676325,0.09258904126,-0.4422858634,5.327730952,1.591470116,-0.01350290421,5.17909918,2.213888884,-0.07180010511
-1.973539371,-0.4514605643,-2.644442934,3.653791138,0.09242967197,-0.4421472556,5.327021625,1.592490591,-0.01357811231,5.179405726,2.213361443,-0.07201502849
-1.972590702,-0.4507187886,-2.646395678,3.653950344,0.09220810542,-0.4419572538,5.326069314,1.593889445,-0.01365912067,5.179693236,2.212634909,-0.07224316862
