frame,A01_data.tx,A01_data.ty,A01_data.tz,A02_data.tx,A02_data.ty,A02_data.tz,A03_data.tx,A03_data.ty,A03_data.tz,F01_data.tx,F01_data.ty,F01_data.tz,F02_data.tx,F02_data.ty,F02_data.tz,F03_data.tx,F03_data.ty,F03_data.tz,F04_data.tx,F04_data.ty,F04_data.tz,F05_data.tx,F05_data.ty,F05_data.tz,F06_data.tx,F06_data.ty,F06_data.tz,F07_data.tx,F07_data.ty,F07_data.tz,F08_data.tx,F08_data.ty,F08_data.tz,F09_data.tx,F09_data.ty,F09_data.tz,F10_data.tx,F10_data.ty,F10_data.tz
33,7.050827769,2.225460141,-0.1127903442,6.87564761,2.138332902,-0.229113855,6.87564761,2.138332902,-0.229113855,6.657411998,1.618374468,0.04071735532,7.004536363,1.935471265,0.2991135644,7.119932273,2.108495378,0.08859683849,7.050201336,2.008749703,0.1890952212,7.189473204,2.156570183,0.1847650266,6.993819313,1.965172909,0.1014942369,7.055145,2.041455779,0.05149097254,7.199631902,2.214966958,0.08851577741,7.152200752,2.141538648,0.1383652205,7.199051898,2.23512636,-0.3560186127
34,7.029497489,2.19634781,-0.11182693,6.850277544,2.109663624,-0.2225840381,6.850277544,2.109663624,-0.2225840381,6.631430749,1.588305303,0.04327049033,6.980969035,1.905467697,0.2995370956,7.101568567,2.079339436,0.09125360908,7.027773157,1.977835306,0.1951146458,7.170225547,2.130361448,0.1887525608,6.97595694,1.937903745,0.1091584001,7.036315361,2.012510774,0.05345683609,7.180218614,2.187622981,0.09146240909,7.133978907,2.113294878,0.139686492,7.185495567,2.208389691,-0.3497017253
35,7.007151628,2.166633902,-0.1109520022,6.823468486,2.080774973,-0.2159857882,6.823468486,2.080774973,-0.2159857882,6.605176755,1.560205871,0.04534996218,6.956471528,1.875304296,0.2994822804,7.082380994,2.049609841,0.09392973852,7.004516388,1.946339955,0.201178032,7.149978973,2.103888842,0.1926221039,6.957604687,1.910335213,0.1164688262,7.016812052,1.983322314,0.05472855526,7.160098143,2.159680539,0.09407638747,7.115669275,2.085075993,0.1423263445,7.171889779,2.180811876,-0.3431767831
36,6.984945691,2.136927477,-0.1101037164,6.795091091,2.052763503,-0.2101453975,6.795091091,2.052763503,-0.2101453975,6.580290131,1.536884365,0.045972647,6.930821925,1.84531974,0.2980929715,7.061155169,2.019755809,0.09614965043,6.980784652,1.915336941,0.2061492077,7.130115408,2.077424509,0.1952441872,6.937926967,1.883496072,0.1215025827,6.996192093,1.955364409,0.05402696408,7.141163385,2.131291523,0.09554478967,7.097394596,2.05793669,0.1460818986,7.159490003,2.153025094,-0.3367258351
37,6.961419108,2.106504309,-0.1094736149,6.765392439,2.024137146,-0.2043654195,6.765392439,2.024137146,-0.2043654195,6.555033721,1.5158562,0.04613506833,6.9041007,1.814928616,0.2963078812,7.039172546,1.989551379,0.09817313714,6.956751101,1.883846885,0.2107907726,7.109430781,2.050116325,0.1974091913,6.9174333,1.856042529,0.1257654457,6.974884899,1.927205792,0.05277554426,7.121558294,2.102120961,0.09666504202,7.078594837,2.030246993,0.1502858015,7.146426109,2.12463791,-0.3299486081
38,6.936709514,2.074049313,-0.1103414248,6.73497037,1.992935184,-0.1995802491,6.73497037,1.992935184,-0.1995802491,6.528809002,1.496072049,0.04497323319,6.875922636,1.782477356,0.2932054308,7.016618044,1.959110272,0.09867832995,6.933132643,1.850865966,0.2145355917,7.088723587,2.01984172,0.1984602712,6.895425688,1.826164554,0.1274610021,6.95208793,1.898578169,0.05166087396,7.102012173,2.070668576,0.09690897888,7.05782002,2.00003302,0.1527379158,7.129124129,2.097427555,-0.322769876
39,6.910237084,2.04082257,-0.1113208951,6.703296152,1.960836687,-0.1947257353,6.703296152,1.960836687,-0.1947257353,6.501995927,1.478714816,0.04371672594,6.8466362,1.749593136,0.2900265657,6.993389405,1.928300841,0.09910708408,6.909448409,1.817554056,0.2179563596,7.066711751,1.988697645,0.1992017175,6.872695787,1.795403157,0.1283827985,6.928674713,1.869488558,0.05056565691,7.081300652,2.038515855,0.09698315357,7.035898689,1.96886442,0.1549499826,7.110601316,2.069846541,-0.3152107293
40,6.881227204,2.006932755,-0.1130874789,6.671857046,1.926307031,-0.189871308,6.671857046,1.926307031,-0.189871308,6.473457814,1.46291918,0.043500829,6.815848583,1.716067664,0.2873291467,6.970065761,1.897851509,0.09947849419,6.886774998,1.784723682,0.2208349475,7.041332516,1.957253275,0.2002322992,6.849082013,1.764371628,0.127777648,6.904695903,1.84011746,0.05008124967,7.057801507,2.00638876,0.09690006425,7.010918916,1.935752077,0.155299941,7.090236851,2.04133397,-0.3075393353
41,6.850108629,1.972486275,-0.1145174444,6.638971255,1.891325304,-0.1847581602,6.638971255,1.891325304,-0.1847581602,6.444633828,1.45021102,0.0434032713,6.78413499,1.682597437,0.2848861484,6.946134583,1.867051247,0.1000168023,6.863974559,1.751959286,0.2232809841,7.014690566,1.925592167,0.2011099713,6.824823649,1.73271378,0.1265151331,6.880419983,1.810355548,0.04971792762,7.032939739,1.973987431,0.09690406031,6.984892592,1.902197482,0.1552846857,7.069110049,2.012202118,-0.2995906261
42,6.815524461,1.93796003,-0.1130275849,6.604511547,1.854938709,-0.1781309826,6.604511547,1.854938709,-0.1781309826,6.41678045,1.443856444,0.04336387861,6.751083957,1.649956228,0.2844533221,6.921625047,1.834854171,0.1016525924,6.84137202,1.719794091,0.2245298293,6.986652324,1.894159488,0.200959317,6.799856579,1.699866757,0.1252176946,6.857530811,1.779595872,0.04946964286,7.005423361,1.941712128,0.09796617755,6.956842262,1.868296161,0.1534950516,7.048424364,1.982175567,-0.2907891727
