ope_data.tx,ope_data.ty,ope_data.tz,ope_data.rx,ope_data.ry,ope_data.rz
-0.3956664302,-0.2349190698,2.570420526,-13.56792329,26.67378259,10.51815596
-0.3943100251,-0.235065127,2.57120636,-13.58268347,26.67645724,10.55180032
-0.3930262302,-0.2353012065,2.571710264,-13.59138242,26.67776757,10.58603784
-0.3918410885,-0.2356068335,2.571981672,-13.59474358,26.67592314,10.62118819
-0.3907765489,-0.2359471641,2.57211627,-13.59438461,26.66919795,10.65725459
-0.3898505123,-0.2363383202,2.572095967,-13.58957757,26.65630793,10.6942781
-0.3890210369,-0.2367564043,2.572003813,-13.58217258,26.63730922,10.73183205
-0.3882349211,-0.2371714472,2.571921205,-13.57425783,26.61388228,10.76930596
-0.3874931116,-0.2375906514,2.571827518,-13.56546175,26.58718003,10.80646484
-0.3867965148,-0.2380210789,2.571702035,-13.55541087,26.55835519,10.84307513
-0.3861459973,-0.2384696293,2.571523977,-13.54373008,26.52856045,10.87890474
-0.3855423861,-0.2389430226,2.571272518,-13.53004279,26.49894863,10.91372311
-0.3849864709,-0.2394477834,2.570926799,-13.51397103,26.47067282,10.94730142
-0.3844790058,-0.2399902289,2.57046592,-13.49513545,26.44488643,10.97941272
-0.3840615699,-0.2406405262,2.569710765,-13.46997166,26.42188791,11.01131646
-0.3837703554,-0.2414479566,2.568520715,-13.43575584,26.40201943,11.04409407
-0.383583376,-0.2423576516,2.567009706,-13.39439428,26.38505591,11.07679947
-0.3834762581,-0.2433176014,2.565302727,-13.34812575,26.3699012,11.10865743
-0.3834381629,-0.2443067205,2.56345323,-13.2983281,26.35646734,11.13943389
-0.3834583422,-0.2453040409,2.561514842,-13.24637958,26.34466618,11.16889335
-0.3835261417,-0.2462887601,2.55954137,-13.19365896,26.33440915,11.19679841
-0.3836310064,-0.2472402651,2.557586796,-13.14154568,26.32560695,11.22290924
-0.3837624871,-0.2481381368,2.555705271,-13.09142002,26.31816911,11.24698315
-0.3839102492,-0.2489621306,2.553951098,-13.04466333,26.31200334,11.26877411
-0.3840640823,-0.2496921369,2.552378716,-13.00265829,26.30701478,11.28803224
-0.3842201886,-0.2503379097,2.550994935,-12.96584373,26.30263702,11.3054015
-0.3844071139,-0.2509291837,2.549723456,-12.93291078,26.30158183,11.32021942
-0.3846431083,-0.2514715446,2.548518077,-12.90273839,26.30612372,11.33143389
-0.3849208418,-0.2519776886,2.547352794,-12.87440966,26.31470412,11.33986646
-0.3852329496,-0.2524605659,2.546201792,-12.8470083,26.32576646,11.34633934
-0.3855720227,-0.2529333763,2.54503945,-12.81961755,26.3377573,11.35167765
-0.3859306027,-0.2534095748,2.543840335,-12.79131952,26.34912701,11.35671056
-0.38630118,-0.2539028845,2.542579201,-12.76119485,26.35833005,11.36227154
-0.386676197,-0.2544273197,2.541230974,-12.72832298,26.36382475,11.36919771
-0.3870480547,-0.2549972179,2.539770735,-12.69178266,26.36407263,11.37832815
-0.387409124,-0.2556272807,2.538173693,-12.65065302,26.35753733,11.39050135
-0.3877788337,-0.256305587,2.536461049,-12.60552966,26.34376388,11.40468333
-0.3881782648,-0.2570091554,2.534674451,-12.55782538,26.32418924,11.41928786
-0.388602274,-0.2577361788,2.532819847,-12.50784637,26.30011264,11.43432241
-0.3890457462,-0.2584844621,2.530903216,-12.45589945,26.27282928,11.44979446
-0.3895035958,-0.2592513334,2.528930639,-12.40229248,26.24363011,11.46571195
-0.3899707674,-0.2600335853,2.526908332,-12.34733453,26.21380169,11.48208364
-0.3904422377,-0.2608274485,2.52484267,-12.29133586,26.18462601,11.49891944
-0.3909130162,-0.2616285956,2.522740173,-12.23460768,26.1573804,11.51623069
-0.3913781472,-0.2624321757,2.520607485,-12.17746167,26.13333746,11.53403044
-0.3918327098,-0.2632328788,2.518451317,-12.12020941,26.11376507,11.55233362
-0.3923134539,-0.2640588694,2.516167606,-12.06013976,26.09761913,11.57121429
-0.3928697475,-0.2649411167,2.513654037,-11.99475813,26.08242483,11.5909381
-0.3934939623,-0.2658698785,2.510951666,-11.92521846,26.06762669,11.61165153
-0.3941692681,-0.2668333975,2.508107608,-11.85270972,26.05309675,11.63313739
-0.3948789586,-0.2678200545,2.50516912,-11.77842255,26.03870464,11.65517452
-0.3956064515,-0.2688184015,2.502183614,-11.70354923,26.02431795,11.67753758
-0.3963352883,-0.269817183,2.499198648,-11.62928366,26.00980266,11.69999702
-0.3970491318,-0.2708053445,2.496261929,-11.5568213,25.99502339,11.72231908
-0.3977317631,-0.2717720283,2.493421301,-11.48735905,25.97984371,11.74426602
-0.3983670766,-0.2727065572,2.490724731,-11.42209506,25.96412635,11.76559639
-0.3989333281,-0.2736166615,2.488163906,-11.36088263,25.94842893,11.78613717
-0.3994081606,-0.2745084836,2.485722779,-11.30299828,25.93357622,11.80594658
-0.3998237452,-0.2754064748,2.48334274,-11.24720206,25.91934975,11.82542466
-0.4002219824,-0.276333393,2.48095476,-11.1920651,25.9054151,11.84495941
-0.4006005911,-0.2772737159,2.478579666,-11.1376379,25.89186089,11.86463594
-0.400957329,-0.2782118871,2.476238266,-11.08397107,25.87877557,11.88453967
-0.4012899892,-0.2791323189,2.473951355,-11.03111535,25.86624749,11.90475632
-0.4015963977,-0.2800193933,2.471739713,-10.97912155,25.85436485,11.92537192
-0.4018744103,-0.2808574623,2.469624106,-10.92804061,25.84321578,11.94647276
-0.4021219095,-0.2816308472,2.467625286,-10.87792353,25.83288829,11.96814536
-0.4023484088,-0.2823209107,2.465743432,-10.82919519,25.8223405,11.98985194
-0.4025576534,-0.282919093,2.463974487,-10.78234467,25.81075515,12.01107282
-0.4027389015,-0.2834247403,2.462332855,-10.73751908,25.79855665,12.03192271
-0.4028649223,-0.2838674109,2.460831742,-10.69501957,25.78604234,12.0528825
-0.4029199996,-0.2842799346,2.459466508,-10.65481935,25.77351218,12.07440113
-0.4029106667,-0.2846664056,2.458224789,-10.61657292,25.76139346,12.09654715
-0.402843447,-0.2850308075,2.457094197,-10.57993432,25.75011277,12.11939034
-0.4027248521,-0.2853770271,2.456062313,-10.54455702,25.74009609,12.1430016
-0.4025613807,-0.2857088698,2.455116681,-10.51009386,25.73176872,12.16745305
-0.4023595192,-0.2860300746,2.4542448,-10.47619685,25.72555519,12.19281807
-0.4021444963,-0.2863114028,2.453436399,-10.44213958,25.72113622,12.21942224
-0.4019453764,-0.286523034,2.452678132,-10.40741262,25.71797802,12.24718679
-0.4017743655,-0.286667822,2.45195275,-10.37199209,25.71618301,12.27557978
-0.4016436365,-0.2867486593,2.451242892,-10.33585325,25.71585386,12.30406942
-0.4015727961,-0.2867882046,2.450490142,-10.29861976,25.71686009,12.33235717
-0.4015577039,-0.2868081219,2.449673207,-10.26052602,25.71910703,12.36024714
-0.4015749208,-0.2868098705,2.44883029,-10.22246255,25.72275285,12.38736073
-0.4016010492,-0.2867949644,2.447999539,-10.18531967,25.72795797,12.41331793
-0.4016127303,-0.2867649853,2.447219052,-10.14998762,25.73488514,12.4377372
-0.4015866421,-0.2867215869,2.446526864,-10.11735671,25.74369949,12.46023521
-0.4014920739,-0.2866595379,2.445975561,-10.08731606,25.75285767,12.48225211
-0.4013033843,-0.2865652217,2.445617239,-10.05971166,25.7612454,12.50518473
-0.4010048882,-0.2864277346,2.445488978,-10.0353678,25.76967461,12.52858351
-0.4005809104,-0.2862361085,2.445627604,-10.01510671,25.7789591,12.55199904
-0.4000577624,-0.2859624248,2.445986823,-9.998622824,25.79023494,12.57468567
-0.3994776931,-0.2855939868,2.446488055,-9.985075033,25.80442238,12.5959712
-0.398848938,-0.2851426369,2.447119326,-9.974479532,25.82201289,12.61551671
-0.3981797349,-0.2846203017,2.447868448,-9.96685096,25.84349795,12.63298333
